"No","Tip","Mahkeme/Daire","Esas","Karar","Tarih","ID (Sinerji)","URL","Anahtar Kelimeler","Snippet"
"1","Anayasa","Bölüm","2022/42654","2026/","2026-03-03","WjJkMno2UmpEY3FyOHZUZktZR1JGSkRUdlFEeG1mUGc","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/WjJkMno2UmpEY3FyOHZUZktZR1JGSkRUdlFEeG1mUGc","boğazına, boğazını, travmatik","memurunun kolunu bırakmaması üzerine başvurucunun boştaki sol eli ile kendisine eşlik eden polis memurunun boğazına ... sarılarak boğazını sıktığı ve ""Şerefsizsiniz"" diyerek polis memuruna hakaret ettiği tutanakta ... raporuna ilişkin olarak alınan 11/11/2019 tarihli adli tıp raporunda 'kişinin vücudunda haricen travmatik ... memurunun kolunu bırakmaması üzerine başvurucunun boştaki sol eli ile kendisine eşlik eden polis memurunun boğazına ... sarılarak boğazını sıktığı ve ""Şerefsizsiniz"" diyere"
"2","Yargıtay","Hukuk Dairesi","2024/11965","2026/1658","2026-02-16","cDBBRlJkbjlUV2NHd3FQU3RKS01GSjBOQTBYL0lNY2M","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/cDBBRlJkbjlUV2NHd3FQU3RKS01GSjBOQTBYL0lNY2M","boğaz, travmatoloji","yedi uzman tarafından düzenlenmesi gerekirken, sunulan raporun bir adli tıp uzmanı, bir kulak burun boğaz ... uzmanı ve bir ortopedi ve travmatoloji uzmanı tarafından hazırlandığı, ayrıca skar izi nedeniyle heyette ... ikametine en yakın Üniversite Hastanesinin Adli Tıp Anabilim Dalı bölümünden içerisinde Ortopedi ve Travmatoloji"
"3","Yargıtay","Hukuk Dairesi","2025/3387","2026/281","2026-01-21","VEEyelNISjV0Y3dCLzY5TjBMeFRCQ3pOSzZ3MUtRZ2Q","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/VEEyelNISjV0Y3dCLzY5TjBMeFRCQ3pOSzZ3MUtRZ2Q","hamileliğinin, hamileler, hamile, travma, gebeliğinin, gebelik","nın hamileliğinin ilk günlerinden itibaren davalı hastanenin dava dışı kadın doğum doktoruna giderek ... doktorun ertesi sabah bebeğin down sendromlu olduğunu söylediğini, down sendromu testinin 35 yaş üstü hamileler ... için zorunlu olduğunu, müvekkili ... 37 yaşında hamile kaldığından down sendromu testi yapılması gerektiğini ... nın down sendromlu olduğunu öğrendikleri günden bu yana korkunç bir travma yaşadıklarını, ...' ... nın gebeliğinin 7. haftasında kalp atımının tespit edildiğini,12. h"
"4","Anayasa","Bölüm","2021/62686","2026/","2026-01-07","eWdhSkFhcXptRDVkQmR2MG12SmZZNUxKS1N5MFJVMXA","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/eWdhSkFhcXptRDVkQmR2MG12SmZZNUxKS1N5MFJVMXA","travmatoloji, boğaz","Ortopedi ve Travmatoloji Ana Bilim Dalı tarafından düzenlenen 21/12/2018 tarihli raporda ""cilt kesisi ... Kulak, Burun ve Boğaz Hastalıkları Ana Bilim Dalı Başkanlığınca düzenlenen 5/12/2018 tarihli raporda,"
"5","Bölge Adliye Mahkemesi","43. Hukuk Dairesi","2024/353","2025/1878","2025-12-11","cFdYVnlTUThHRjhqZ0FhMGZ2Y2dOQT09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/cFdYVnlTUThHRjhqZ0FhMGZ2Y2dOQT09","hamileliği, hamilelikte, travma, gebelikte, gebelik, gebe","(baba)ın müşterek çocuğu olduğunu, müvekkili ... ...ın hamileliği boyunca davalının sigortalısı doktor ... tarafından takip edildiğini, anılan doktorun genel olarak tıbbi kötü uygulaması sonucu down sendromunun hamilelikte ... sürecin ağır ve meşakkatli bir süreç olduğu bu durumun çocuk yanı sıra anne ve baba içinde ciddi bir travma ... Gebelikte ise, hem anne sağlığı hem de çocuğun sağlığı söz konusudur. ... Gebelik süresi, on haftadan fazla ise rahim ancak gebelik, annenin hayatını tehdit etti"
"6","Bölge Adliye Mahkemesi","43. Hukuk Dairesi","2022/1571","2025/1879","2025-12-11","Tk5neFdjUGFmYlVxRDlPUXZlVzZBdz09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/Tk5neFdjUGFmYlVxRDlPUXZlVzZBdz09","hamileliği, hamilelikte, travma, gebeliğe, gebelik, gebe","Katı nın hamileliği boyunca davalının sigortalısı doktor tarafından takip edildiğini, ne var ki anılan ... toktorun genel olarak tıbbi kötü uygulaması sonucu down sendomu hamilelikte teşhis edilemediğini, küçük ... edeceğini, davalının sigortalısı doktorun tibbi kötü uygulaması sonucu bebeğin down sendromlu olduğu hamilelikte ... sürecin ağır ve meşakkatli bir süreç olduğu bu durumun çocuk yanısıra anne ve baba içinde ciddi bir travma ... Gebeliğe ve bebeğe müdahale gerektiren (gebelik sıvısı ve"
"7","Yargıtay","Hukuk Dairesi","2024/10262","2025/16176","2025-12-03","bEc5eW1Yb0xPZkhpditlM3Y0NUFpNnRCbW1sSUU5WFg","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/bEc5eW1Yb0xPZkhpditlM3Y0NUFpNnRCbW1sSUU5WFg","travmatoloji, boğaz","mululiyet raporunun yönetmeliğe uygun düzenlenmediğini, sigorta şirketi tarafından aldırılan ortopedi ve travmatoloji ... Anabilim Dalı Başkanlığı'nın bir adli tıp uzmanı, bir beyin ve sinir cerrahisi uzmanı, bir ortopedi ve travmatoloji ... %15, çiğneme yutma zorluğuna bağlı olarak %10, toplam %24 olarak belirlendiği, ancak kulak burun boğaz ... Uyuşmazlık Hakem Heyeti tarafından içinde kulak burun boğaz uzmanı ve cildiye/ plastik cerrahisi uzmanı ... Hakkında Yönetmelik hükümlerine uygun olara"
"8","Yargıtay","Hukuk Dairesi","2024/10227","2025/16175","2025-12-03","MW5XMlp2elBxY0lsTCtzTjRHSW9MZWM5cU1OUHI3dWw","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/MW5XMlp2elBxY0lsTCtzTjRHSW9MZWM5cU1OUHI3dWw","boğaz, travmatoloji","hükümlerine göre sürekli iş göremezlik oranının %5 olarak belirlendiği, maluliyet raporunun kulak burun boğaz ... uzmanı, ortopedi ve travmatoloji uzmanı ve adli tıp uzmanından oluşan 3 kişilik hekim heyetince düzenlendiği"
"9","Yargıtay","Hukuk Dairesi","2025/10653","2025/16015","2025-12-01","c3l0QStDRDU1cGxYQ1V2VVRIbFFoSEN0b0xzeTVDczU","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/c3l0QStDRDU1cGxYQ1V2VVRIbFFoSEN0b0xzeTVDczU","boğaz, travmatoloji","raporu arasındaki çelişkiyi giderecek şekilde STK bilirkişi listesinden bir ortopedi, bir kulak burun boğaz ... çelişkiyi giderecek şekilde Sigorta Tahkim Komisyonu bilirkişi listesinden bir ortopedi, bir kulak burun boğaz ... ikametine en yakın Üniversite Hastanesinin Adli Tıp Anabilim Dalı bölümünden içerisinde ortopedi ve travmatoloji ... uzmanı, nöroloji uzmanı, kulak burun boğaz uzmanının da bulunduğu heyetten rapor alınıp, davacıda tespit"
"10","Yargıtay","Hukuk Dairesi","2025/14638","2025/16174","2025-11-27","bUNtSG5kcFNFMmpReVBEaHdUeS9qaVp3RFh6ZkRURS8","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/bUNtSG5kcFNFMmpReVBEaHdUeS9qaVp3RFh6ZkRURS8","travma, boğaz, travmatoloji","İdare Mahkemesine açılan davanın görev yönünden reddedildiğini, davacılar murisinin travma sonrası stres ... sonra, en son verilen ...Şehir Hastanesinin 16.04.2019 gün ve 1109 sayılı Sağlık Kurulu Raporu ile “travma ... işitme kaybı yönünden ise hiçbir araştırma ve inceleme yaptırılmadığını, ... hastanelerinin Kulak Burun Boğaz ... yaralanması olayı nedeniyle vücudunda meydana gelen tüm hastalık ve arızalar (Psikiyatri, Kulak Burun Boğaz ... , Ortopedi ve Travmatoloji, Kas ve İskelet Sistemi ve "
