sira,score,tipadi,daire,esasno,esasyil,kararno,karartarihi,kaynak_arama,sinyaller,konu,metin_ozet
1,47.8,Anayasa,2,2803,2013,,2016-01-21,gebe+illiyet,gebe×126 | travma×32 | illiyet×9 | TCK 87/88 | cenin/düşük | obstetrik komp.,ANAYASA MAHKEMESİNİN 21/01/2016TARİHLİ VE 2013/2803 SAYILI KARARI (BİREYSEL BAŞVURU),"(AİHS. m. 2, 3)(2709 S. K. &nbsp;m. 17, 36) (5237 S. K. m. 81, 82, 85, 86, 87) (4721 S. K .m. 8, 427, 582, 643) (2827 S. K. m. 2, 5) (4483 S. K. m. 3, 5) (6098 S. K. m. 49, 74) (6216 S. K. m. 46) &nbsp; *** İncelemekte olduğunuz karar Resmi Gazete&rsquo;de yayımlanmamış olup kararlar bilgibankasi.an"
2,44.6,Yargıtay,CG,269,2014,108,2017-02-28,gebe+travma,gebe×16 | travma×146 | illiyet×8 | TCK 87/88 | cenin/düşük | künt/batın,YARGITAY KARARI,"Kararı Veren Yargıtay Dairesi: 8. Ceza Dairesi Mahkemesi:Ağır Ceza Günü: 01.10.2012 Sayısı: 501-268 Sanık ... hakkında katılan ....'a yönelik eziyet suçundan açılan kamu davasında yapılan yargılama neticesinde sanığın eyleminin işkence suçunu oluşturduğunun kabulü ile TCK'nun 94/1, 62 ve 53/1. madde"
3,44,Yargıtay,3,6496,2021,9381,2024-07-17,gebe+travma,gebe×27 | travma×590 | illiyet×127 | TCK 87/88 | cenin/düşük | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: Ankara Bölge Adliye Mahkemesi 21. Ceza Dairesi SAYISI: 2020/1 E. - 2020/746 K. İLK DERECE MAHKEMESİ:Ankara 17. Ağır Ceza Mahkemesinin 20.06.2019 tarih ve 2017/109 E. - 2019/30 K. sayılı kararı MAKTULLER: M.. G.., B.. İ.., C.. P.., M.. T.., M.. S.., S.. K.., V.. T.., Ş.. D.., M.. Ş.., M.. "
4,43.5,Yargıtay,CG,69,2016,714,2019-12-24,gebe+illiyet,gebe×9 | travma×23 | illiyet×27 | TCK 87/88 | cenin/düşük | trafik/iş kaz,YARGITAY KARARI,"Kararı veren Yargıtay Dairesi: 12. Ceza Dairesi Mahkemesi:Asliye Ceza Sayısı: 448-30 Sanık ... hakkında taksirle birden fazla kişinin yaralanmasına neden olma suçundan yapılan yargılama sonucunda, 5237 sayılı TCK’nın 66/1-e maddesi uyarınca zamanaşımı nedeniyle kamu davasının düşmesine ilişkin Ödemi"
5,42,Anayasa,GK,22169,2016,,2017-06-20,gebe+travma,gebe×4 | travma×41 | illiyet×27 | TCK 87/88 | cenin/düşük | aile içi,ANAYASA MAHKEMESİNİN 20/6/2017 TARİHLİ VE 2016/22169 SAYILI KARARI (BİREYSEL BAŞVURU) ,"(AİHS m. 2, 3, 4, 5, 7, 15) (İnsan Hakları Evrensel Beyannamesi m. 9) (Medeni ve Siyasi Haklara İlişkin Milletlerarası Antlaşma m. 4, 9) (2709 S. K. BAŞLANGIÇ, m. 2, 5, 6, 13, 15, 19, 36, 107, 119, 120, 121, 122, 148) (491 S. K. m. 74, 78, 86) (334 S. K. m. 123, 124) (5271 S. K. m. 100, 101, 104, 10"
6,41,A.İ.H.M.,4,23145,1993,,2003-11-13,gebe+travma,gebe×36 | travma×65 | illiyet×23 | TCK 87/88 | cenin/düşük,ELÇİ VE DİĞERLERİ - TÜRKİYE DAVASI,"(AİHS. m. 3, 5, 8, 25, 35, 41,I NOLU PROTOKOL) (2709 S. K. m. 90, 125)(1136 S. K. m. 58, 59) (1412 S. K. m. 90, 91, 92, 93, 94, 95, 96, 97, 135, 151, 152, 153, 154, 155) (2845 S. K. m. 9, 10) (765 S. K. m. 64, 65, 125, 131, 146, 147, 149, 156, 168, 169, 179, 181, 191, 243, 245) (2577 S. K. m. 13) (8"
7,41,Yargıtay,10,2616,2021,1909,2022-02-15,gebe+illiyet,gebe×4 | travma×16 | illiyet×11 | TCK 87/88 | cenin/düşük | trafik/iş kaz,YARGITAY KARARI,"Mahkemesi: ... Bölge Adliye Mahkemesi 9. Hukuk Dairesi İlk Derece Mahkemesi: ... 5. İş Mahkemesi Dava, iş kazası ölümünden kaynaklanan maddi tazminat istemine ilişkindir. İlk Derece Mahkemesince, hükümde belirtilen gerekçelerle davanın kabulüne dair verilen karara karşı davalı vekili tarafından isti"
8,41,Yargıtay,CG,197,2019,33,2024-01-24,gebe+travma,gebe×13 | travma×131 | illiyet×18 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,İTİRAZ İtirazname No: 2015/288473 KARARI VEREN YARGITAY DAİRESİ : 12. Ceza Dairesi MAHKEMESİ :Ağır Ceza SAYISI: 100-276 I. HUKUKÎ SÜREÇ Sanık hakkında kasten yaralama sonucu ölüme neden olma suçundan açılan kamu davasında yapılan yargılama sonucunda sanığın eyleminin taksirle bir kişinin ölümüne ned
9,41,Anayasa,1,12753,2015,,2019-05-08,gebe+travma,gebe×76 | travma×45 | illiyet×28 | TCK 87/88 | cenin/düşük,ANAYASA MAHKEMESİNİN 8/5/2019 TARİHLİ VE 2015/12753 SAYILI KARARI (BİREYSEL BAŞVURU),"(AİHS m. 3) (2709 S. K. m. 5, 17, 34) (5237 S. K. m. 86, 87, 256) (5271 S. K. m. 160) (2911 S. K. m. 22, 31) (6216 S. K. m. 50) (Anayasa Mahkemesi İçtüzüğü m. 79) (ANY. MAH. 18.09.2013 T. 2012/969 E.) (ANY. MAH. 17.07.2014 T. 2013/293 E.) (ANY. MAH. 28.09.2016 T. 2014/798 E.) (ANY. MAH. 06.01.2015 T"
10,41,Danıştay,10,4432,2020,5849,2023-10-24,gebe+travma,gebe×16 | travma×24 | illiyet×16 | TCK 87/88 | cenin/düşük,DANIŞTAY KARARI,"T.C. D A N I Ş T A Y ONUNCU DAİRE Esas No : 2020/4432 KararNo : 2023/5849 DAVACI: .... Ltd. Şti. VEKİLLERİ: Av. … Av. … DAVALI: … Bakanlığı / ANKARA VEKİLİ: Hukuk Müşaviri Av. … DAVANIN KONUSU: Davacı tarafından, 15/02/2008 tarih ve 26788 sayılı Resmî Gazete'de yayımlanan Ayakta Teşhis ve Tedavi Yap"
